2024;Восход;Зенит;Долгота дня;;Начало астрономических сумерек;Начало навигационных сумерек;Начало гражданских сумерек;Конец гражданских сумерек;Конец навигационных сумерек;Конец астрономических сумерек
25.10;05:40;11:31;17:22;11:42:06;−0:44;04:28;04:53;05:18;17:43;18:09;18:34
26.10;05:40;11:31;17:21;11:41:21;−0:45;04:28;04:53;05:18;17:43;18:08;18:33
27.10;05:40;11:30;17:21;11:40:37;−0:44;04:28;04:53;05:18;17:43;18:08;18:33
28.10;05:40;11:30;17:20;11:39:53;−0:44;04:28;04:53;05:19;17:42;18:07;18:33
29.10;05:41;11:30;17:20;11:39:10;−0:43;04:28;04:53;05:19;17:42;18:07;18:32
30.10;05:41;11:30;17:19;11:38:27;−0:43;04:29;04:54;05:19;17:41;18:07;18:32
31.10;05:41;11:30;17:19;11:37:44;−0:43;04:29;04:54;05:19;17:41;18:06;18:32
01.11;05:42;11:30;17:19;11:37:02;−0:42;04:29;04:54;05:20;17:41;18:06;18:31
02.11;05:42;11:30;17:18;11:36:20;−0:42;04:29;04:55;05:20;17:40;18:06;18:31
03.11;05:42;11:30;17:18;11:35:38;−0:42;04:29;04:55;05:20;17:40;18:05;18:31
04.11;05:43;11:30;17:18;11:34:58;−0:40;04:30;04:55;05:21;17:40;18:05;18:31
05.11;05:43;11:30;17:17;11:34:17;−0:41;04:30;04:55;05:21;17:39;18:05;18:30
06.11;05:43;11:30;17:17;11:33:36;−0:41;04:30;04:56;05:21;17:39;18:05;18:30
07.11;05:44;11:30;17:17;11:32:56;−0:40;04:31;04:56;05:22;17:39;18:05;18:30
08.11;05:44;11:30;17:16;11:32:18;−0:38;04:31;04:56;05:22;17:39;18:04;18:30
09.11;05:45;11:30;17:16;11:31:38;−0:40;04:31;04:57;05:22;17:38;18:04;18:30
10.11;05:45;11:31;17:16;11:31:01;−0:37;04:31;04:57;05:23;17:38;18:04;18:30
11.11;05:45;11:31;17:16;11:30:22;−0:39;04:32;04:57;05:23;17:38;18:04;18:29
12.11;05:46;11:31;17:16;11:29:45;−0:37;04:32;04:58;05:23;17:38;18:04;18:29
13.11;05:46;11:31;17:15;11:29:09;−0:36;04:32;04:58;05:24;17:38;18:04;18:29
14.11;05:47;11:31;17:15;11:28:32;−0:37;04:33;04:58;05:24;17:38;18:04;18:29
15.11;05:47;11:31;17:15;11:27:57;−0:35;04:33;04:59;05:25;17:38;18:04;18:29
16.11;05:48;11:31;17:15;11:27:23;−0:34;04:34;04:59;05:25;17:38;18:03;18:29
